Question_No,Question,Acceptance,isPremium,Difficulty,Question_Link,Solution
45, Jump Game II,40.70%,FALSE,Medium,https://leetcode.com/problems/jump-game-ii/description,https://leetcode.com/problems/jump-game-ii/solutions
46, Permutations,79.20%,FALSE,Medium,https://leetcode.com/problems/permutations/description,https://leetcode.com/problems/permutations/solutions
47, Permutations II,60.00%,FALSE,Medium,https://leetcode.com/problems/permutations-ii/description,https://leetcode.com/problems/permutations-ii/solutions
48, Rotate Image,75.90%,FALSE,Medium,https://leetcode.com/problems/rotate-image/description,https://leetcode.com/problems/rotate-image/solutions
49, Group Anagrams,69.40%,FALSE,Medium,https://leetcode.com/problems/group-anagrams/description,https://leetcode.com/problems/group-anagrams/solutions
51, N-Queens,70.00%,FALSE,Hard,https://leetcode.com/problems/n-queens/description,https://leetcode.com/problems/n-queens/solutions
52, N-Queens II,75.00%,FALSE,Hard,https://leetcode.com/problems/n-queens-ii/description,https://leetcode.com/problems/n-queens-ii/solutions
53, Maximum Subarray,51.20%,FALSE,Medium,https://leetcode.com/problems/maximum-subarray/description,https://leetcode.com/problems/maximum-subarray/solutions
54, Spiral Matrix,51.30%,FALSE,Medium,https://leetcode.com/problems/spiral-matrix/description,https://leetcode.com/problems/spiral-matrix/solutions
55, Jump Game,38.80%,FALSE,Medium,https://leetcode.com/problems/jump-game/description,https://leetcode.com/problems/jump-game/solutions
56, Merge Intervals,48.00%,FALSE,Medium,https://leetcode.com/problems/merge-intervals/description,https://leetcode.com/problems/merge-intervals/solutions
57, Insert Interval,42.20%,FALSE,Medium,https://leetcode.com/problems/insert-interval/description,https://leetcode.com/problems/insert-interval/solutions
58, Length of Last Word,53.70%,FALSE,Easy,https://leetcode.com/problems/length-of-last-word/description,https://leetcode.com/problems/length-of-last-word/solutions
59, Spiral Matrix II,72.10%,FALSE,Medium,https://leetcode.com/problems/spiral-matrix-ii/description,https://leetcode.com/problems/spiral-matrix-ii/solutions
60, Permutation Sequence,48.10%,FALSE,Hard,https://leetcode.com/problems/permutation-sequence/description,https://leetcode.com/problems/permutation-sequence/solutions
61, Rotate List,38.60%,FALSE,Medium,https://leetcode.com/problems/rotate-list/description,https://leetcode.com/problems/rotate-list/solutions
62, Unique Paths,64.80%,FALSE,Medium,https://leetcode.com/problems/unique-paths/description,https://leetcode.com/problems/unique-paths/solutions
63, Unique Paths II,42.20%,FALSE,Medium,https://leetcode.com/problems/unique-paths-ii/description,https://leetcode.com/problems/unique-paths-ii/solutions
64, Minimum Path Sum,65.00%,FALSE,Medium,https://leetcode.com/problems/minimum-path-sum/description,https://leetcode.com/problems/minimum-path-sum/solutions
65, Valid Number,20.40%,FALSE,Hard,https://leetcode.com/problems/valid-number/description,https://leetcode.com/problems/valid-number/solutions
66, Plus One,46.20%,FALSE,Easy,https://leetcode.com/problems/plus-one/description,https://leetcode.com/problems/plus-one/solutions
67, Add Binary,54.30%,FALSE,Easy,https://leetcode.com/problems/add-binary/description,https://leetcode.com/problems/add-binary/solutions
68, Text Justification,45.10%,FALSE,Hard,https://leetcode.com/problems/text-justification/description,https://leetcode.com/problems/text-justification/solutions
69, Sqrt(x),39.40%,FALSE,Easy,https://leetcode.com/problems/sqrt(x)/description,https://leetcode.com/problems/sqrt(x)/solutions
70, Climbing Stairs,53.10%,FALSE,Easy,https://leetcode.com/problems/climbing-stairs/description,https://leetcode.com/problems/climbing-stairs/solutions
71, Simplify Path,44.20%,FALSE,Medium,https://leetcode.com/problems/simplify-path/description,https://leetcode.com/problems/simplify-path/solutions
72, Edit Distance,57.30%,FALSE,Medium,https://leetcode.com/problems/edit-distance/description,https://leetcode.com/problems/edit-distance/solutions
73, Set Matrix Zeroes,57.40%,FALSE,Medium,https://leetcode.com/problems/set-matrix-zeroes/description,https://leetcode.com/problems/set-matrix-zeroes/solutions
74, Search a 2D Matrix,51.00%,FALSE,Medium,https://leetcode.com/problems/search-a-2d-matrix/description,https://leetcode.com/problems/search-a-2d-matrix/solutions
75, Sort Colors,65.00%,FALSE,Medium,https://leetcode.com/problems/sort-colors/description,https://leetcode.com/problems/sort-colors/solutions
76, Minimum Window Substring,43.70%,FALSE,Hard,https://leetcode.com/problems/minimum-window-substring/description,https://leetcode.com/problems/minimum-window-substring/solutions
77, Combinations,71.30%,FALSE,Medium,https://leetcode.com/problems/combinations/description,https://leetcode.com/problems/combinations/solutions
78, Subsets,79.20%,FALSE,Medium,https://leetcode.com/problems/subsets/description,https://leetcode.com/problems/subsets/solutions
79, Word Search,43.60%,FALSE,Medium,https://leetcode.com/problems/word-search/description,https://leetcode.com/problems/word-search/solutions
80, Remove Duplicates from Sorted Array II,60.20%,FALSE,Medium,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/description,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/solutions
81, Search in Rotated Sorted Array II,38.20%,FALSE,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/description,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/solutions
82, Remove Duplicates from Sorted List II,48.30%,FALSE,Medium,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/description,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/solutions
83, Remove Duplicates from Sorted List,53.40%,FALSE,Easy,https://leetcode.com/problems/remove-duplicates-from-sorted-list/description,https://leetcode.com/problems/remove-duplicates-from-sorted-list/solutions
84, Largest Rectangle in Histogram,45.50%,FALSE,Hard,https://leetcode.com/problems/largest-rectangle-in-histogram/description,https://leetcode.com/problems/largest-rectangle-in-histogram/solutions
85, Maximal Rectangle,51.70%,FALSE,Hard,https://leetcode.com/problems/maximal-rectangle/description,https://leetcode.com/problems/maximal-rectangle/solutions
86, Partition List,57.20%,FALSE,Medium,https://leetcode.com/problems/partition-list/description,https://leetcode.com/problems/partition-list/solutions
87, Scramble String,40.80%,FALSE,Hard,https://leetcode.com/problems/scramble-string/description,https://leetcode.com/problems/scramble-string/solutions
88, Merge Sorted Array,51.00%,FALSE,Easy,https://leetcode.com/problems/merge-sorted-array/description,https://leetcode.com/problems/merge-sorted-array/solutions
89, Gray Code,60.10%,FALSE,Medium,https://leetcode.com/problems/gray-code/description,https://leetcode.com/problems/gray-code/solutions
90, Subsets II,58.10%,FALSE,Medium,https://leetcode.com/problems/subsets-ii/description,https://leetcode.com/problems/subsets-ii/solutions
91, Decode Ways,35.50%,FALSE,Medium,https://leetcode.com/problems/decode-ways/description,https://leetcode.com/problems/decode-ways/solutions
92, Reverse Linked List II,48.30%,FALSE,Medium,https://leetcode.com/problems/reverse-linked-list-ii/description,https://leetcode.com/problems/reverse-linked-list-ii/solutions
93, Restore IP Addresses,51.10%,FALSE,Medium,https://leetcode.com/problems/restore-ip-addresses/description,https://leetcode.com/problems/restore-ip-addresses/solutions
94, Binary Tree Inorder Traversal,77.10%,FALSE,Easy,https://leetcode.com/problems/binary-tree-inorder-traversal/description,https://leetcode.com/problems/binary-tree-inorder-traversal/solutions
95, Unique Binary Search Trees II,58.70%,FALSE,Medium,https://leetcode.com/problems/unique-binary-search-trees-ii/description,https://leetcode.com/problems/unique-binary-search-trees-ii/solutions
96, Unique Binary Search Trees,61.60%,FALSE,Medium,https://leetcode.com/problems/unique-binary-search-trees/description,https://leetcode.com/problems/unique-binary-search-trees/solutions
97, Interleaving String,40.60%,FALSE,Medium,https://leetcode.com/problems/interleaving-string/description,https://leetcode.com/problems/interleaving-string/solutions
98, Validate Binary Search Tree,33.40%,FALSE,Medium,https://leetcode.com/problems/validate-binary-search-tree/description,https://leetcode.com/problems/validate-binary-search-tree/solutions
99, Recover Binary Search Tree,54.30%,FALSE,Medium,https://leetcode.com/problems/recover-binary-search-tree/description,https://leetcode.com/problems/recover-binary-search-tree/solutions
100, Same Tree,63.30%,FALSE,Easy,https://leetcode.com/problems/same-tree/description,https://leetcode.com/problems/same-tree/solutions
101, Symmetric Tree,57.60%,FALSE,Easy,https://leetcode.com/problems/symmetric-tree/description,https://leetcode.com/problems/symmetric-tree/solutions
102, Binary Tree Level Order Traversal,68.50%,FALSE,Medium,https://leetcode.com/problems/binary-tree-level-order-traversal/description,https://leetcode.com/problems/binary-tree-level-order-traversal/solutions
103, Binary Tree Zigzag Level Order Traversal,60.00%,FALSE,Medium,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/description,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/solutions
104, Maximum Depth of Binary Tree,76.10%,FALSE,Easy,https://leetcode.com/problems/maximum-depth-of-binary-tree/description,https://leetcode.com/problems/maximum-depth-of-binary-tree/solutions
105, Construct Binary Tree from Preorder and Inorder Traversal,65.00%,FALSE,Medium,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/description,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/solutions
106, Construct Binary Tree from Inorder and Postorder Traversal,64.30%,FALSE,Medium,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/description,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/solutions
107, Binary Tree Level Order Traversal II,64.30%,FALSE,Medium,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/description,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/solutions
108, Convert Sorted Array to Binary Search Tree,72.60%,FALSE,Easy,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/description,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/solutions
109, Convert Sorted List to Binary Search Tree,62.70%,FALSE,Medium,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/description,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/solutions
110, Balanced Binary Tree,53.40%,FALSE,Easy,https://leetcode.com/problems/balanced-binary-tree/description,https://leetcode.com/problems/balanced-binary-tree/solutions
111, Minimum Depth of Binary Tree,48.90%,FALSE,Easy,https://leetcode.com/problems/minimum-depth-of-binary-tree/description,https://leetcode.com/problems/minimum-depth-of-binary-tree/solutions
112, Path Sum,51.40%,FALSE,Easy,https://leetcode.com/problems/path-sum/description,https://leetcode.com/problems/path-sum/solutions
113, Path Sum II,59.20%,FALSE,Medium,https://leetcode.com/problems/path-sum-ii/description,https://leetcode.com/problems/path-sum-ii/solutions
114, Flatten Binary Tree to Linked List,66.40%,FALSE,Medium,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/description,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/solutions
115, Distinct Subsequences,48.30%,FALSE,Hard,https://leetcode.com/problems/distinct-subsequences/description,https://leetcode.com/problems/distinct-subsequences/solutions
116, Populating Next Right Pointers in Each Node,63.60%,FALSE,Medium,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/description,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/solutions
117, Populating Next Right Pointers in Each Node II,53.60%,FALSE,Medium,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/description,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/solutions
118, Pascal's Triangle,75.40%,FALSE,Easy,https://leetcode.com/problems/pascal's-triangle/description,https://leetcode.com/problems/pascal's-triangle/solutions
119, Pascal's Triangle II,64.70%,FALSE,Easy,https://leetcode.com/problems/pascal's-triangle-ii/description,https://leetcode.com/problems/pascal's-triangle-ii/solutions
120, Triangle,57.70%,FALSE,Medium,https://leetcode.com/problems/triangle/description,https://leetcode.com/problems/triangle/solutions
121, Best Time to Buy and Sell Stock,54.10%,FALSE,Easy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/description,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/solutions
122, Best Time to Buy and Sell Stock II,67.70%,FALSE,Medium,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/description,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/solutions
123, Best Time to Buy and Sell Stock III,49.20%,FALSE,Hard,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/description,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/solutions
124, Binary Tree Maximum Path Sum,40.40%,FALSE,Hard,https://leetcode.com/problems/binary-tree-maximum-path-sum/description,https://leetcode.com/problems/binary-tree-maximum-path-sum/solutions
125, Valid Palindrome,48.70%,FALSE,Easy,https://leetcode.com/problems/valid-palindrome/description,https://leetcode.com/problems/valid-palindrome/solutions
126, Word Ladder II,27.20%,FALSE,Hard,https://leetcode.com/problems/word-ladder-ii/description,https://leetcode.com/problems/word-ladder-ii/solutions
127, Word Ladder,40.40%,FALSE,Hard,https://leetcode.com/problems/word-ladder/description,https://leetcode.com/problems/word-ladder/solutions
128, Longest Consecutive Sequence,47.50%,FALSE,Medium,https://leetcode.com/problems/longest-consecutive-sequence/description,https://leetcode.com/problems/longest-consecutive-sequence/solutions
129, Sum Root to Leaf Numbers,66.70%,FALSE,Medium,https://leetcode.com/problems/sum-root-to-leaf-numbers/description,https://leetcode.com/problems/sum-root-to-leaf-numbers/solutions
130, Surrounded Regions,40.80%,FALSE,Medium,https://leetcode.com/problems/surrounded-regions/description,https://leetcode.com/problems/surrounded-regions/solutions
131, Palindrome Partitioning,70.30%,FALSE,Medium,https://leetcode.com/problems/palindrome-partitioning/description,https://leetcode.com/problems/palindrome-partitioning/solutions
132, Palindrome Partitioning II,34.30%,FALSE,Hard,https://leetcode.com/problems/palindrome-partitioning-ii/description,https://leetcode.com/problems/palindrome-partitioning-ii/solutions
133, Clone Graph,59.10%,FALSE,Medium,https://leetcode.com/problems/clone-graph/description,https://leetcode.com/problems/clone-graph/solutions
134, Gas Station,45.60%,FALSE,Medium,https://leetcode.com/problems/gas-station/description,https://leetcode.com/problems/gas-station/solutions
135, Candy,43.90%,FALSE,Hard,https://leetcode.com/problems/candy/description,https://leetcode.com/problems/candy/solutions
136, Single Number,74.10%,FALSE,Easy,https://leetcode.com/problems/single-number/description,https://leetcode.com/problems/single-number/solutions
137, Single Number II,63.80%,FALSE,Medium,https://leetcode.com/problems/single-number-ii/description,https://leetcode.com/problems/single-number-ii/solutions
138, Copy List with Random Pointer,57.60%,FALSE,Medium,https://leetcode.com/problems/copy-list-with-random-pointer/description,https://leetcode.com/problems/copy-list-with-random-pointer/solutions
139, Word Break,47.20%,FALSE,Medium,https://leetcode.com/problems/word-break/description,https://leetcode.com/problems/word-break/solutions
140, Word Break II,51.70%,FALSE,Hard,https://leetcode.com/problems/word-break-ii/description,https://leetcode.com/problems/word-break-ii/solutions
141, Linked List Cycle,51.10%,FALSE,Easy,https://leetcode.com/problems/linked-list-cycle/description,https://leetcode.com/problems/linked-list-cycle/solutions
142, Linked List Cycle II,52.60%,FALSE,Medium,https://leetcode.com/problems/linked-list-cycle-ii/description,https://leetcode.com/problems/linked-list-cycle-ii/solutions
143, Reorder List,60.10%,FALSE,Medium,https://leetcode.com/problems/reorder-list/description,https://leetcode.com/problems/reorder-list/solutions
144, Binary Tree Preorder Traversal,70.80%,FALSE,Easy,https://leetcode.com/problems/binary-tree-preorder-traversal/description,https://leetcode.com/problems/binary-tree-preorder-traversal/solutions
145, Binary Tree Postorder Traversal,73.50%,FALSE,Easy,https://leetcode.com/problems/binary-tree-postorder-traversal/description,https://leetcode.com/problems/binary-tree-postorder-traversal/solutions
146, LRU Cache,43.30%,FALSE,Medium,https://leetcode.com/problems/lru-cache/description,https://leetcode.com/problems/lru-cache/solutions
147, Insertion Sort List,54.60%,FALSE,Medium,https://leetcode.com/problems/insertion-sort-list/description,https://leetcode.com/problems/insertion-sort-list/solutions
148, Sort List,59.50%,FALSE,Medium,https://leetcode.com/problems/sort-list/description,https://leetcode.com/problems/sort-list/solutions
149, Max Points on a Line,27.50%,FALSE,Hard,https://leetcode.com/problems/max-points-on-a-line/description,https://leetcode.com/problems/max-points-on-a-line/solutions
150, Evaluate Reverse Polish Notation,52.70%,FALSE,Medium,https://leetcode.com/problems/evaluate-reverse-polish-notation/description,https://leetcode.com/problems/evaluate-reverse-polish-notation/solutions
151, Reverse Words in a String,46.30%,FALSE,Medium,https://leetcode.com/problems/reverse-words-in-a-string/description,https://leetcode.com/problems/reverse-words-in-a-string/solutions
152, Maximum Product Subarray,33.90%,FALSE,Medium,https://leetcode.com/problems/maximum-product-subarray/description,https://leetcode.com/problems/maximum-product-subarray/solutions
153, Find Minimum in Rotated Sorted Array,51.30%,FALSE,Medium,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/description,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/solutions
154, Find Minimum in Rotated Sorted Array II,43.80%,FALSE,Hard,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/description,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/solutions
155, Min Stack,55.00%,FALSE,Medium,https://leetcode.com/problems/min-stack/description,https://leetcode.com/problems/min-stack/solutions
156, Binary Tree Upside Down,63.20%,TRUE,Medium,https://leetcode.com/problems/binary-tree-upside-down/description,https://leetcode.com/problems/binary-tree-upside-down/solutions
157, Read N Characters Given Read4,41.80%,TRUE,Easy,https://leetcode.com/problems/read-n-characters-given-read4/description,https://leetcode.com/problems/read-n-characters-given-read4/solutions
158, Read N Characters Given read4 II - Call Multiple Times,42.50%,TRUE,Hard,https://leetcode.com/problems/read-n-characters-given-read4-ii---call-multiple-times/description,https://leetcode.com/problems/read-n-characters-given-read4-ii---call-multiple-times/solutions
159, Longest Substring with At Most Two Distinct Characters,55.70%,TRUE,Medium,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/description,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/solutions
160, Intersection of Two Linked Lists,58.90%,FALSE,Easy,https://leetcode.com/problems/intersection-of-two-linked-lists/description,https://leetcode.com/problems/intersection-of-two-linked-lists/solutions
161, One Edit Distance,34.40%,TRUE,Medium,https://leetcode.com/problems/one-edit-distance/description,https://leetcode.com/problems/one-edit-distance/solutions
162, Find Peak Element,46.00%,FALSE,Medium,https://leetcode.com/problems/find-peak-element/description,https://leetcode.com/problems/find-peak-element/solutions
163, Missing Ranges,34.10%,TRUE,Easy,https://leetcode.com/problems/missing-ranges/description,https://leetcode.com/problems/missing-ranges/solutions
164, Maximum Gap,47.30%,FALSE,Medium,https://leetcode.com/problems/maximum-gap/description,https://leetcode.com/problems/maximum-gap/solutions
165, Compare Version Numbers,41.30%,FALSE,Medium,https://leetcode.com/problems/compare-version-numbers/description,https://leetcode.com/problems/compare-version-numbers/solutions
173, Binary Search Tree Iterator,73.10%,FALSE,Medium,https://leetcode.com/problems/binary-search-tree-iterator/description,https://leetcode.com/problems/binary-search-tree-iterator/solutions
174, Dungeon Game,38.50%,FALSE,Hard,https://leetcode.com/problems/dungeon-game/description,https://leetcode.com/problems/dungeon-game/solutions
175, Combine Two Tables,76.70%,FALSE,Easy,https://leetcode.com/problems/combine-two-tables/description,https://leetcode.com/problems/combine-two-tables/solutions
176, Second Highest Salary,41.60%,FALSE,Medium,https://leetcode.com/problems/second-highest-salary/description,https://leetcode.com/problems/second-highest-salary/solutions
177, Nth Highest Salary,38.00%,FALSE,Medium,https://leetcode.com/problems/nth-highest-salary/description,https://leetcode.com/problems/nth-highest-salary/solutions
178, Rank Scores,63.40%,FALSE,Medium,https://leetcode.com/problems/rank-scores/description,https://leetcode.com/problems/rank-scores/solutions
179, Largest Number,39.90%,FALSE,Medium,https://leetcode.com/problems/largest-number/description,https://leetcode.com/problems/largest-number/solutions
180, Consecutive Numbers,44.00%,FALSE,Medium,https://leetcode.com/problems/consecutive-numbers/description,https://leetcode.com/problems/consecutive-numbers/solutions
181, Employees Earning More Than Their Managers,70.20%,FALSE,Easy,https://leetcode.com/problems/employees-earning-more-than-their-managers/description,https://leetcode.com/problems/employees-earning-more-than-their-managers/solutions
182, Duplicate Emails,71.50%,FALSE,Easy,https://leetcode.com/problems/duplicate-emails/description,https://leetcode.com/problems/duplicate-emails/solutions
183, Customers Who Never Order,69.60%,FALSE,Easy,https://leetcode.com/problems/customers-who-never-order/description,https://leetcode.com/problems/customers-who-never-order/solutions
184, Department Highest Salary,52.70%,FALSE,Medium,https://leetcode.com/problems/department-highest-salary/description,https://leetcode.com/problems/department-highest-salary/solutions
185, Department Top Three Salaries,55.00%,FALSE,Hard,https://leetcode.com/problems/department-top-three-salaries/description,https://leetcode.com/problems/department-top-three-salaries/solutions
186, Reverse Words in a String II,55.20%,TRUE,Medium,https://leetcode.com/problems/reverse-words-in-a-string-ii/description,https://leetcode.com/problems/reverse-words-in-a-string-ii/solutions
187, Repeated DNA Sequences,49.70%,FALSE,Medium,https://leetcode.com/problems/repeated-dna-sequences/description,https://leetcode.com/problems/repeated-dna-sequences/solutions
188, Best Time to Buy and Sell Stock IV,44.60%,FALSE,Hard,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/description,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/solutions
189, Rotate Array,41.60%,FALSE,Medium,https://leetcode.com/problems/rotate-array/description,https://leetcode.com/problems/rotate-array/solutions
